"";"ModulePath";"ModuleLevel";"AlternativeCost";"pid"
"12463";"Font-Awesome/build/assets/";3;4589;4
"12485";"Font-Awesome/src/";2;29829;4
"12499";"Font-Awesome/src/assets/js/";4;11473;4
"12509";"Font-Awesome/src/3.2.1/";3;18356;4
"12670";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"12721";"Font-Awesome/";1;86044;4
"12729";"Font-Awesome/docs/assets/js/";4;50479;4
"12734";"Font-Awesome/docs/";2;50479;4
"12748";"Font-Awesome/build/";2;5736;4
"12762";"Font-Awesome/build/assets/js/";4;4589;4
"12781";"Font-Awesome/build/assets/";3;4589;4
"12803";"Font-Awesome/src/";2;29829;4
"12817";"Font-Awesome/src/assets/js/";4;11473;4
"12827";"Font-Awesome/src/3.2.1/";3;18356;4
"12988";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"13039";"Font-Awesome/";1;86044;4
"13047";"Font-Awesome/docs/assets/js/";4;50479;4
"13052";"Font-Awesome/docs/";2;50479;4
"13066";"Font-Awesome/build/";2;5736;4
"13080";"Font-Awesome/build/assets/js/";4;4589;4
"13099";"Font-Awesome/build/assets/";3;4589;4
"13121";"Font-Awesome/src/";2;29829;4
"13135";"Font-Awesome/src/assets/js/";4;11473;4
"13145";"Font-Awesome/src/3.2.1/";3;18356;4
"13306";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"13357";"Font-Awesome/";1;86044;4
"13365";"Font-Awesome/docs/assets/js/";4;50479;4
"13370";"Font-Awesome/docs/";2;50479;4
"13384";"Font-Awesome/build/";2;5736;4
"13398";"Font-Awesome/build/assets/js/";4;4589;4
"13417";"Font-Awesome/build/assets/";3;4589;4
"13439";"Font-Awesome/src/";2;29829;4
"13453";"Font-Awesome/src/assets/js/";4;11473;4
"13463";"Font-Awesome/src/3.2.1/";3;18356;4
"13624";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"13675";"Font-Awesome/";1;86044;4
"13683";"Font-Awesome/docs/assets/js/";4;50479;4
"13688";"Font-Awesome/docs/";2;50479;4
"13702";"Font-Awesome/build/";2;5736;4
"13716";"Font-Awesome/build/assets/js/";4;4589;4
"13735";"Font-Awesome/build/assets/";3;4589;4
"13757";"Font-Awesome/src/";2;29829;4
"13771";"Font-Awesome/src/assets/js/";4;11473;4
"13781";"Font-Awesome/src/3.2.1/";3;18356;4
"13942";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"13993";"Font-Awesome/";1;86044;4
"14001";"Font-Awesome/docs/assets/js/";4;50479;4
"14006";"Font-Awesome/docs/";2;50479;4
"14020";"Font-Awesome/build/";2;5736;4
"14034";"Font-Awesome/build/assets/js/";4;4589;4
"14053";"Font-Awesome/build/assets/";3;4589;4
"14075";"Font-Awesome/src/";2;29829;4
"14089";"Font-Awesome/src/assets/js/";4;11473;4
"14099";"Font-Awesome/src/3.2.1/";3;18356;4
"14260";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"14311";"Font-Awesome/";1;86044;4
"14319";"Font-Awesome/docs/assets/js/";4;50479;4
"14324";"Font-Awesome/docs/";2;50479;4
"14338";"Font-Awesome/build/";2;5736;4
"14352";"Font-Awesome/build/assets/js/";4;4589;4
"14371";"Font-Awesome/build/assets/";3;4589;4
"14393";"Font-Awesome/src/";2;29829;4
"14407";"Font-Awesome/src/assets/js/";4;11473;4
"14417";"Font-Awesome/src/3.2.1/";3;18356;4
"14578";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"14629";"Font-Awesome/";1;86044;4
"14637";"Font-Awesome/docs/assets/js/";4;50479;4
"14642";"Font-Awesome/docs/";2;50479;4
"14656";"Font-Awesome/build/";2;5736;4
"14670";"Font-Awesome/build/assets/js/";4;4589;4
"14689";"Font-Awesome/build/assets/";3;4589;4
"14711";"Font-Awesome/src/";2;29829;4
"14725";"Font-Awesome/src/assets/js/";4;11473;4
"14735";"Font-Awesome/src/3.2.1/";3;18356;4
"14896";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"14947";"Font-Awesome/";1;86044;4
"14955";"Font-Awesome/docs/assets/js/";4;50479;4
"14960";"Font-Awesome/docs/";2;50479;4
"14974";"Font-Awesome/build/";2;5736;4
"14988";"Font-Awesome/build/assets/js/";4;4589;4
"15007";"Font-Awesome/build/assets/";3;4589;4
"15029";"Font-Awesome/src/";2;29829;4
"15043";"Font-Awesome/src/assets/js/";4;11473;4
"15053";"Font-Awesome/src/3.2.1/";3;18356;4
"15214";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"15265";"Font-Awesome/";1;86044;4
"15273";"Font-Awesome/docs/assets/js/";4;50479;4
"15278";"Font-Awesome/docs/";2;50479;4
"15292";"Font-Awesome/build/";2;5736;4
"15306";"Font-Awesome/build/assets/js/";4;4589;4
"15325";"Font-Awesome/build/assets/";3;4589;4
"15347";"Font-Awesome/src/";2;29829;4
"15361";"Font-Awesome/src/assets/js/";4;11473;4
"15371";"Font-Awesome/src/3.2.1/";3;18356;4
"15532";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"15583";"Font-Awesome/";1;86044;4
"15591";"Font-Awesome/docs/assets/js/";4;50479;4
"15596";"Font-Awesome/docs/";2;50479;4
"15610";"Font-Awesome/build/";2;5736;4
"15624";"Font-Awesome/build/assets/js/";4;4589;4
"15643";"Font-Awesome/build/assets/";3;4589;4
